ObjectID,vehicle_types,State,District,LOR_ab_2021,AccidentYear,AccidentMonth,AccidentHour,DayOfWeek,AccidentCategory,AccidentType,AccidentTypeDetail,LightingCondition,InvolvingBike,InvolvingCar,InvolvingPedestrian,RoadCondition,GraphicCoord1,GraphicCoord2,LongitudeWGS84,LatitudeWGS84,accident_outcome
217649,bike + car,11,3,3601141.0,2021,10,11,2,3,2,2,0,1,1,0,1,799213.6688,5831806.169,13.41431752,52.55389755,0
217650,bike + car,11,8,8100415.0,2021,11,16,7,3,5,2,2,1,1,0,0,801453.94,5823631.826,13.43985456,52.47939464,0
217653,car,11,5,5300737.0,2021,10,3,1,2,8,1,2,0,1,0,0,788028.5109,5829413.578,13.24772988,52.53847769,1
217655,car,11,8,8200831.0,2021,10,10,7,3,2,6,0,0,1,0,0,799589.0819,5816401.958,13.40599355,52.41561493,0
217657,bike + pedestrian,11,11,11200513.0,2021,11,8,4,3,6,4,0,1,0,1,0,804615.8399,5831082.694,13.4930884,52.54441911,0
217658,bike + car,11,10,10400938.0,2021,11,7,2,3,5,3,0,1,1,0,1,815201.575,5829195.013,13.64688936,52.52148421,0
217662,bike + car,11,7,7601341.0,2021,11,16,3,3,5,3,2,1,1,0,1,798082.8894,5815053.762,13.38271249,52.40435201,0
217663,bike + car,11,1,1401049.0,2021,11,8,4,3,5,2,0,1,1,0,1,795974.2724,5831978.077,13.36683149,52.55720856,0
217668,car,11,8,8401244.0,2021,10,20,7,3,2,6,2,0,1,0,0,804905.3276,5815668.925,13.48325329,52.40610958,0
217671,car,11,11,11200411.0,2021,11,11,3,3,5,3,0,0,1,0,1,805617.3206,5831149.146,13.50787178,52.54445385,0
217673,bike,11,1,1100309.0,2021,10,2,1,3,0,1,2,1,0,0,0,798753.5641,5828367.619,13.40445982,52.52332854,0
217674,car,11,7,7601544.0,2021,10,18,4,2,0,7,1,0,1,0,0,799617.6185,5813175.761,13.40352625,52.38668045,1
217677,car,11,4,4501153.0,2021,10,23,3,3,2,6,2,0,1,0,0,794303.3242,5824164.105,13.33534068,52.48806683,0
217678,bike + car,11,7,7400824.0,2021,10,8,3,2,5,2,0,1,1,0,0,797842.741,5822041.767,13.38541881,52.46712304,1
217679,car,11,4,4300416.0,2021,10,14,6,3,2,6,0,0,1,0,0,791931.0976,5826118.045,13.30221574,52.50685731,0
217680,car,11,8,8100416.0,2021,11,17,5,3,1,5,2,0,1,0,1,801963.9019,5823073.637,13.44683538,52.47410979,0
217683,bike + pedestrian,11,1,1300733.0,2021,10,16,2,3,6,4,0,1,0,1,0,797103.4106,5831715.314,13.38320282,52.55423838,0
217684,bike + car,11,2,2400522.0,2021,10,7,6,3,1,5,2,1,1,0,0,801656.3119,5828260.97,13.44701828,52.52077451,0
217685,car,11,10,10100311.0,2021,10,6,5,3,5,2,0,0,1,0,0,807453.2498,5828733.919,13.53262606,52.52177576,0
217686,car + pedestrian,11,2,2200209.0,2021,11,17,2,3,6,2,2,0,1,1,1,797108.0248,5824306.019,13.37665252,52.48781982,0
217688,car,11,10,10400940.0,2021,10,13,3,3,1,5,0,0,1,0,1,811932.7101,5824616.727,13.59457879,52.48233674,0
217689,car,11,3,3200205.0,2021,11,5,7,3,0,6,2,0,1,0,0,797169.0686,5835656.649,13.38770016,52.58953163,0
217690,car,11,6,6400737.0,2021,11,15,6,3,9,1,0,0,1,0,1,784712.1106,5819832.172,13.1907742,52.45431283,0
217691,bike,11,11,11100309.0,2021,11,16,2,3,3,6,1,1,0,0,1,805310.8461,5833202.858,13.50525509,52.56303169,0
217693,bike + car,11,6,6200313.0,2021,10,9,3,3,0,2,0,1,1,0,1,795673.2401,5818237.823,13.35020817,52.43420167,0
217694,car + pedestrian,11,8,8401243.0,2021,10,16,5,3,6,7,0,0,1,1,0,805132.1922,5817982.729,13.48868743,52.42672121,0
217695,bike + car,11,2,2200210.0,2021,10,5,7,2,1,5,2,1,1,0,0,798826.9264,5824910.895,13.40243485,52.49230361,1
217696,bike + car,11,2,2100102.0,2021,11,9,4,3,5,2,0,1,1,0,1,798181.2266,5826512.671,13.39438668,52.50701462,0
217697,car + pedestrian,11,1,1300834.0,2021,11,19,5,2,6,2,1,0,1,1,1,797699.7384,5830672.223,13.39103733,52.5445628,1
217700,car,11,10,10100104.0,2021,10,8,7,3,5,3,0,0,1,0,1,810264.8895,5833858.625,13.57871987,52.56610806,0
217701,car + pedestrian,11,2,2300314.0,2021,10,18,4,3,6,4,2,0,1,1,0,799629.3439,5826168.003,13.41534915,52.50313183,0
217702,bike + car,11,1,1100102.0,2021,11,9,4,3,5,2,0,1,1,0,1,795420.8157,5827463.277,13.35467776,52.5170378,0
217706,car,11,11,11300617.0,2021,11,10,6,3,5,3,0,0,1,0,1,802950.2805,5829192.375,13.46687958,52.52840521,0
217709,bike,11,6,6400838.0,2021,10,17,2,3,0,1,1,1,0,0,0,787637.6549,5818131.101,13.23224473,52.43752978,0
217711,bike + car,11,3,3400826.0,2021,10,10,7,3,0,2,0,1,1,0,0,798934.5028,5832600.956,13.41092805,52.56117488,0
217712,car + pedestrian,11,7,7200307.0,2021,11,16,2,3,6,2,0,0,1,1,0,794956.3071,5824461.191,13.34519262,52.49037761,0
217714,car,11,2,2100102.0,2021,11,10,7,3,5,2,0,0,1,0,0,798221.3117,5825857.213,13.39438846,52.50111736,0
217715,car,11,3,3200207.0,2021,11,21,6,2,2,6,2,0,1,0,0,799608.8222,5836307.847,13.42419582,52.59403018,1
217720,car + pedestrian,11,9,9200717.0,2021,10,6,3,2,6,4,2,0,1,1,1,809889.0944,5819261.245,13.55961057,52.43550581,1
217721,bike,11,7,7100103.0,2021,10,21,3,3,0,7,2,1,0,0,1,796012.13,5825353.78,13.36149085,52.49780742,0
217722,car + pedestrian,11,10,10200526.0,2021,10,15,6,3,6,2,0,0,1,1,0,812262.7242,5830197.414,13.60465709,52.53215762,0
217725,bike + car,11,11,11300721.0,2021,11,10,3,3,0,2,0,1,1,0,1,805516.5431,5830038.506,13.50536912,52.53455646,0
217728,bike + car,11,8,8401243.0,2021,11,8,6,3,2,6,0,1,1,0,0,805605.8432,5817374.997,13.49507671,52.42101,0
217729,car,11,8,8200832.0,2021,11,6,3,3,2,6,2,0,1,0,1,801555.2123,5817377.055,13.43569401,52.42327547,0
217730,bike + car,11,4,4300622.0,2021,11,13,2,3,5,2,0,1,1,0,1,792918.5165,5826769.293,13.31729575,52.51216626,0
217731,bike + car,11,12,12200412.0,2021,11,4,7,2,1,5,2,1,1,0,0,788547.4648,5832781.031,13.25828718,52.56839333,1
217732,car + pedestrian,11,6,6200311.0,2021,10,7,3,3,6,2,2,0,1,1,1,796471.1648,5818336.072,13.36199819,52.43465051,0
217733,car + pedestrian,11,7,7400720.0,2021,11,10,2,3,6,2,0,0,1,1,0,797675.3937,5823654.682,13.38440213,52.48167226,0
217734,bike + car,11,2,2200213.0,2021,10,13,4,3,1,5,0,1,1,0,0,799859.2491,5824780.393,13.41747697,52.49056775,0
217735,car,11,7,7400822.0,2021,10,14,3,3,2,6,0,0,1,0,0,796791.021,5821977.181,13.36992491,52.46711642,0
217737,car,11,4,4100101.0,2021,11,20,3,2,5,2,2,0,1,0,1,793341.1986,5829717.341,13.32610691,52.53836698,1
217738,bike + car,11,6,6200421.0,2021,11,16,4,3,5,2,2,1,1,0,1,793122.7448,5817655.037,13.312288,52.43034985,0
217740,car,11,6,6400840.0,2021,10,9,4,3,1,5,0,0,1,0,0,789054.2755,5819700.686,13.25438428,52.45085501,0
217741,bike,11,4,4100101.0,2021,10,20,7,3,0,7,2,1,0,0,0,789755.7743,5829879.799,13.2735327,52.54174174,0
217742,car,11,10,10100315.0,2021,11,13,5,3,5,3,0,0,1,0,0,809743.0015,5831427.319,13.5687763,52.54461708,0
217744,car,11,12,12500926.0,2021,10,10,7,2,5,2,0,0,1,0,0,793422.8728,5836089.721,13.33294433,52.59544761,1
217745,bike + car,11,1,1100206.0,2021,10,9,7,3,5,3,0,1,1,0,0,797677.1388,5827961.612,13.38827762,52.52027791,0
217746,car + pedestrian,11,5,5200629.0,2021,11,15,7,3,6,4,0,0,1,1,0,784518.6303,5828640.247,13.19545722,52.53338794,0
217747,car,11,3,3300514.0,2021,11,14,4,3,8,1,0,0,1,0,0,801463.8187,5837062.106,13.45218475,52.59976551,0
217749,car,11,1,1100313.0,2021,11,12,1,3,5,3,0,0,1,0,1,800066.5206,5826414.449,13.42199267,52.50510059,0
217751,bike + car,11,4,4501044.0,2021,10,7,3,3,1,5,1,1,1,0,1,793136.5496,5824524.896,13.31852361,52.49192894,0
217753,bike + car,11,8,8100312.0,2021,10,19,3,3,1,5,2,1,1,0,1,801329.1614,5823989.951,13.43834645,52.48267346,0
217754,car,11,11,11300721.0,2021,10,10,3,3,5,3,0,0,1,0,0,805142.2051,5829994.662,13.49982712,52.53437321,0
217755,bike,11,4,4501042.0,2021,10,0,6,3,0,1,2,1,0,0,0,794444.5364,5825803.45,13.33886339,52.50268646,0
217757,bike + car,11,4,4300416.0,2021,11,7,6,3,1,5,0,1,1,0,1,791856.8999,5825917.106,13.30094947,52.50509562,0
217758,car,11,5,5100316.0,2021,11,15,2,3,5,2,0,0,1,0,1,784788.0699,5828800.068,13.19955568,52.53468017,0
217759,bike + pedestrian,11,1,1200629.0,2021,10,15,6,3,6,4,0,1,0,1,0,794864.252,5827696.445,13.34670603,52.51942919,0
217761,car,11,4,4300619.0,2021,10,0,7,2,8,1,2,0,1,0,0,792647.0353,5827107.493,13.31360417,52.51534384,1
217762,car + pedestrian,11,6,6400843.0,2021,10,18,5,3,6,2,1,0,1,1,0,791543.5662,5819562.899,13.29079102,52.44829785,0
217763,car + pedestrian,11,1,2100101.0,2021,11,16,7,3,6,4,2,0,1,1,1,797046.9722,5826538.653,13.37774713,52.50786628,0
217765,bike + pedestrian,11,1,1100101.0,2021,10,8,2,3,6,4,0,1,0,1,0,795008.0131,5826317.568,13.34759624,52.50699081,0
217766,car,11,3,3400619.0,2021,11,16,1,3,5,3,1,0,1,0,1,795968.8967,5835562.709,13.36995187,52.58934391,0
217767,bike + car,11,10,10200423.0,2021,11,12,5,3,5,3,0,1,1,0,0,813245.1958,5831083.634,13.61992887,52.53953529,0
217768,car,11,4,4200204.0,2021,11,16,3,3,2,7,1,0,1,0,0,786554.7688,5826176.584,13.22327074,52.51023274,0
217769,car + pedestrian,11,11,11300620.0,2021,10,7,3,3,6,4,0,0,1,1,0,803815.9661,5829074.974,13.47949415,52.52687124,0
217773,bike + car,11,7,7300517.0,2021,11,16,5,3,1,5,1,1,1,0,1,794395.9728,5822574.053,13.33529722,52.4737629,0
217774,car,11,1,1200624.0,2021,11,7,2,3,2,6,0,0,1,0,1,795648.1311,5829724.009,13.36002814,52.5371801,0
217775,bike + car,11,3,3100101.0,2021,10,15,5,3,2,6,0,1,1,0,0,801641.019,5842236.16,13.45951335,52.64604121,0
217776,bike + car,11,10,10400941.0,2021,10,14,5,3,5,3,0,1,1,0,1,812638.5849,5825271.624,13.60555366,52.48780172,0
217777,bike + car,11,4,4300622.0,2021,10,14,5,3,5,2,0,1,1,0,0,792918.5287,5826769.271,13.31729591,52.51216606,0
217778,car,11,1,1401045.0,2021,11,5,3,3,2,6,2,0,1,0,1,797119.3137,5831888.236,13.38359147,52.55577974,0
217779,bike,11,3,3400829.0,2021,11,18,5,2,5,2,2,1,0,0,0,800000.7762,5833019.303,13.42698872,52.56433822,1
217780,car + pedestrian,11,3,3400723.0,2021,10,18,5,3,6,2,2,0,1,1,1,798614.9592,5833053.371,13.40663536,52.56540543,0
217781,car,11,2,2200210.0,2021,10,18,7,3,2,2,1,0,1,0,0,798802.2857,5824933.833,13.40209357,52.4925227,0
217782,car,11,10,10100311.0,2021,11,15,6,3,5,2,0,0,1,0,0,806307.8311,5830190.137,13.5171384,52.53547129,0
217783,car,11,5,5200423.0,2021,11,15,5,3,2,2,0,0,1,0,0,781984.4125,5828468.758,13.15805007,52.53316738,0
217784,car,11,5,5200423.0,2021,10,20,1,3,2,6,2,0,1,0,0,781305.9141,5828390.668,13.14800759,52.53281781,0
217785,car,11,4,4300517.0,2021,10,5,1,3,8,1,2,0,1,0,0,791702.9295,5827860.322,13.3003909,52.5225986,0
217786,car,11,2,2500728.0,2021,10,17,4,3,5,3,1,0,1,0,0,803009.0402,5828269.27,13.46690205,52.52009893,0
217787,car,11,8,8401243.0,2021,10,8,7,2,5,2,0,0,1,0,0,805547.183,5818559.307,13.49529859,52.43165729,1
217788,car,11,12,12100101.0,2021,11,21,1,3,5,3,2,0,1,0,0,795771.7398,5832573.063,13.36438302,52.56265206,0
217790,car,11,9,9200717.0,2021,11,16,7,3,3,7,1,0,1,0,0,809414.0595,5818616.934,13.55204881,52.43000047,0
217791,car,11,8,8401242.0,2021,11,23,6,3,2,6,2,0,1,0,0,804510.9249,5816087.836,13.47785428,52.4100837,0
217792,car,11,2,2500834.0,2021,10,18,4,3,1,5,0,0,1,0,0,803047.9498,5826577.318,13.46593307,52.50491261,0
217793,bike + car,11,5,5200527.0,2021,10,7,4,3,5,2,0,1,1,0,1,783326.9371,5827682.732,13.17711955,52.52542344,0
217794,bike + car,11,8,8100312.0,2021,11,18,3,3,5,3,2,1,1,0,1,801264.7693,5824590.738,13.43794409,52.48809399,0
217795,bike + car,11,2,2100105.0,2021,11,17,5,3,3,6,2,1,1,0,1,799215.8326,5825966.099,13.40909382,52.50154896,0
217796,bike,11,1,1100415.0,2021,10,8,3,3,0,1,0,1,0,0,1,797389.6996,5829154.908,13.38512094,52.53113123,0
217799,car,11,7,7601546.0,2021,10,14,6,3,5,2,0,0,1,0,0,798560.0481,5814427.227,13.3891474,52.39847583,0
