y,x,osmid,highway,ref,geometry
52.5709639,13.3419457,596883958,,,POINT (13.3419457 52.5709639)
52.5209376,13.1876879,610214125,,,POINT (13.1876879 52.5209376)
52.5123773,13.3172172,628156652,,,POINT (13.3172172 52.5123773)
52.5123656,13.3170186,628156655,,,POINT (13.3170186 52.5123656)
52.5477,13.3005971,629530456,,,POINT (13.3005971 52.5477)
52.5415243,13.2474165,631440428,,,POINT (13.2474165 52.5415243)
52.5086261,13.4506165,631457503,,,POINT (13.4506165 52.5086261)
52.4459416,13.4444973,637829352,crossing,,POINT (13.4444973 52.4459416)
52.3960903,13.408603,638946508,turning_circle,,POINT (13.408603 52.3960903)
52.3959072,13.4086118,638946510,turning_circle,,POINT (13.4086118 52.3959072)
52.4228482,13.4410663,651773367,,,POINT (13.4410663 52.4228482)
52.4231678,13.4410753,651773420,,,POINT (13.4410753 52.4231678)
52.5132763,13.3211705,654381302,,,POINT (13.3211705 52.5132763)
52.5131226,13.320929,654381305,,,POINT (13.320929 52.5131226)
52.5124453,13.3232317,654381326,,,POINT (13.3232317 52.5124453)
52.513307,13.3222002,654381390,,,POINT (13.3222002 52.513307)
52.5132749,13.3225564,654381393,,,POINT (13.3225564 52.5132749)
52.5424346,13.4451835,659804308,,,POINT (13.4451835 52.5424346)
52.539996,13.4513055,659868680,,,POINT (13.4513055 52.539996)
52.5444778,13.2697562,660676780,,,POINT (13.2697562 52.5444778)
52.4728032,13.4362462,661594879,,,POINT (13.4362462 52.4728032)
52.5124115,13.320527,667945032,crossing,,POINT (13.320527 52.5124115)
52.512596,13.3204915,667945033,crossing,,POINT (13.3204915 52.512596)
52.5313862,13.3672967,673035770,,,POINT (13.3672967 52.5313862)
52.4479092,13.5532292,685151386,,,POINT (13.5532292 52.4479092)
52.4709344,13.4204772,731644140,,,POINT (13.4204772 52.4709344)
52.5471154,13.3009097,767514462,,,POINT (13.3009097 52.5471154)
52.5083773,13.2584207,769693790,,,POINT (13.2584207 52.5083773)
52.5457839,13.1943485,807913296,crossing,,POINT (13.1943485 52.5457839)
52.5746171,13.2403124,842019329,,,POINT (13.2403124 52.5746171)
52.4185129,13.3929816,850874868,,,POINT (13.3929816 52.4185129)
52.5554499,13.1988111,879008238,,,POINT (13.1988111 52.5554499)
52.4423142,13.6862805,907841453,,,POINT (13.6862805 52.4423142)
52.4528609,13.5742752,928259511,,,POINT (13.5742752 52.4528609)
52.4185627,13.5056823,948654845,crossing,,POINT (13.5056823 52.4185627)
52.6165314,13.4914713,967925682,,,POINT (13.4914713 52.6165314)
52.6181589,13.487962,967930555,,,POINT (13.487962 52.6181589)
52.6213041,13.4792688,975142943,,,POINT (13.4792688 52.6213041)
52.4976532,13.2830471,984625009,,,POINT (13.2830471 52.4976532)
52.6285972,13.4902917,985903904,,,POINT (13.4902917 52.6285972)
52.4667643,13.3171105,1096352292,,,POINT (13.3171105 52.4667643)
52.5850831,13.2770847,1097230990,,,POINT (13.2770847 52.5850831)
52.5026549,13.4180409,1144517026,,,POINT (13.4180409 52.5026549)
52.4549266,13.4442505,1155147744,,,POINT (13.4442505 52.4549266)
52.5053497,13.5134074,1168276028,,,POINT (13.5134074 52.5053497)
52.470608,13.2891188,1192354515,,,POINT (13.2891188 52.470608)
52.5291354,13.565811,1203445765,,,POINT (13.565811 52.5291354)
52.5121818,13.3171137,1254415600,,,POINT (13.3171137 52.5121818)
