osmid,lanes,name,highway,maxspeed,oneway,length,geometry,width,bridge,ref,access,tunnel,junction,service,area,est_width,u,v,key
"[152892288, 71960546, 71746025, 71596043, 71595980, 605637372]",2,"['Siriusstraße', 'Ortolfstraße']",tertiary,"['30', '50']",False,1467.5639999999996,"LINESTRING (13.5348935 52.409934, 13.5346653 52.4095606, 13.5345269 52.4093341, 13.5343837 52.4090999, 13.5342879 52.4089431, 13.5340939 52.4086258, 13.533991 52.4084574, 13.5338787 52.4082666, 13.5337358 52.4080391, 13.5335376 52.4077237, 13.5333835 52.4074784, 13.5333421 52.4074126, 13.5331064 52.4070244, 13.5329194 52.4067163, 13.5328751 52.4066576, 13.5327936 52.4065313, 13.5326627 52.406391, 13.532638 52.4063636, 13.5317611 52.4055576, 13.5317189 52.4055197, 13.5313708 52.4051958, 13.5312777 52.4051092, 13.5312237 52.4050485, 13.5309773 52.4047717, 13.5309129 52.4046996, 13.5300695 52.403756, 13.5299896 52.4036719, 13.5299602 52.403641, 13.5297143 52.4034087, 13.5294306 52.4032024, 13.5289047 52.4029058, 13.5282142 52.4025551, 13.5278704 52.4023822, 13.5277281 52.4023074, 13.5276036 52.4022367, 13.5274859 52.4021698, 13.5273779 52.4020871, 13.5272599 52.4019681, 13.5271541 52.4018499, 13.5268047 52.4012906, 13.526061 52.4014664, 13.5257738 52.4015343, 13.5254872 52.401602, 13.5251209 52.4016885, 13.5249831 52.4017211, 13.5244719 52.4018419, 13.5241818 52.4019169, 13.5238944 52.4019911, 13.5237801 52.4020207, 13.5235875 52.4020704, 13.5231485 52.4021839, 13.5230124 52.402219, 13.5228033 52.4022731, 13.5222869 52.4024065, 13.5221058 52.4024533)",,,,,,,,,,26965672,260571000,0
4581781,,Edinburger Straße,residential,30,False,452.75,"LINESTRING (13.3430438 52.558918, 13.3431535 52.5589021, 13.3436943 52.5585992, 13.3450047 52.5578402, 13.3455921 52.5575092, 13.3459869 52.5572981, 13.346477 52.5570175, 13.3472896 52.5565522, 13.3478044 52.5562779, 13.3478403 52.5562588, 13.3479838 52.5561823)",,,,,,,,,,27177947,27177951,0
4581781,,Edinburger Straße,residential,30,False,466.79499999999996,"LINESTRING (13.3479838 52.5561823, 13.3481436 52.5560902, 13.3482166 52.5560482, 13.3488769 52.5556676, 13.3494455 52.5553504, 13.3499316 52.5550679, 13.3516244 52.5541037, 13.3528911 52.5533822, 13.353022 52.553312)",,,,,,,,,,27177951,27177971,0
4581781,,Edinburger Straße,residential,30,False,452.75,"LINESTRING (13.3479838 52.5561823, 13.3478403 52.5562588, 13.3478044 52.5562779, 13.3472896 52.5565522, 13.346477 52.5570175, 13.3459869 52.5572981, 13.3455921 52.5575092, 13.3450047 52.5578402, 13.3436943 52.5585992, 13.3431535 52.5589021, 13.3430438 52.558918)",,,,,,,,,,27177951,27177947,0
4581771,2,Barfusstraße,secondary,50,False,471.57999999999987,"LINESTRING (13.3479838 52.5561823, 13.3481245 52.556247, 13.348182 52.5562656, 13.3485771 52.5564045, 13.348728 52.5564657, 13.3488495 52.5565215, 13.3489714 52.5565872, 13.34908 52.556652, 13.34919 52.5567319, 13.3493006 52.5568244, 13.3494032 52.556926, 13.3494868 52.5570251, 13.3496271 52.5572116, 13.34969 52.5572777, 13.3498545 52.5574441, 13.3500793 52.5576351, 13.3502468 52.5577556, 13.3504498 52.5578853, 13.3509951 52.5582026, 13.3510607 52.5582413, 13.3511848 52.5583146, 13.3513197 52.5583992, 13.3513891 52.5584428, 13.3514462 52.5584786, 13.351488 52.558506, 13.3515161 52.5585244, 13.3519739 52.5588243, 13.3521149 52.5589167, 13.3526523 52.5592686)",,,,,,,,,,27177951,34694399,0
4581771,2,Barfusstraße,secondary,50,False,274.71999999999997,"LINESTRING (13.3479838 52.5561823, 13.3478654 52.5561056, 13.3478041 52.5560658, 13.3465926 52.5552806, 13.3462508 52.5550577, 13.3460303 52.5549139, 13.3457003 52.5546886, 13.345424 52.5545, 13.3453521 52.554454, 13.3452215 52.5543705)",,,,,,,,,,27177951,21537087,0
4581781,,Edinburger Straße,residential,30,False,466.7950000000001,"LINESTRING (13.353022 52.553312, 13.3528911 52.5533822, 13.3516244 52.5541037, 13.3499316 52.5550679, 13.3494455 52.5553504, 13.3488769 52.5556676, 13.3482166 52.5560482, 13.3481436 52.5560902, 13.3479838 52.5561823)",,,,,,,,,,27177971,27177951,0
"[169753571, 4662735]","['2', '4']",Manteuffelstraße,secondary,50,False,290.23900000000003,"LINESTRING (13.3778923 52.4698796, 13.3778704 52.4695541, 13.3778649 52.4692515, 13.3778647 52.4688183, 13.3778725 52.4687431, 13.3778835 52.4686372, 13.3779093 52.4685305, 13.3779198 52.4684874, 13.3779561 52.4683727, 13.3780197 52.4681718, 13.3780297 52.4681403, 13.3780511 52.4680695, 13.3780856 52.4679558, 13.3781074 52.4678896, 13.3781205 52.4678524, 13.3781712 52.4677046, 13.3782019 52.4675407, 13.3782087 52.4674948, 13.3782376 52.4672886)",,,,,,,,,,27212575,235637281,0
5109517,2,Leo-Baeck-Straße,residential,30,False,426.48,"LINESTRING (13.2637859 52.4220635, 13.2639953 52.4220871, 13.2640706 52.4220956, 13.2645904 52.422159, 13.2648841 52.4222273, 13.2655957 52.4223291, 13.2657728 52.4223532, 13.2658178 52.4223568, 13.2658531 52.4223596, 13.2659934 52.4223655, 13.2661819 52.4223626, 13.2663286 52.4223675, 13.2665054 52.4223811, 13.2670603 52.4224585, 13.2679702 52.4225854, 13.2692298 52.4227753, 13.2697643 52.4228559, 13.2699165 52.4228792)",,,,,,,,,,27252639,1615429216,0
375930756,,Teltower Damm,secondary,50,False,601.64,"LINESTRING (13.2637859 52.4220635, 13.2638118 52.4219952, 13.2638246 52.4219617, 13.2638755 52.4218276, 13.2642713 52.4207421, 13.2646618 52.4196837, 13.2647261 52.4194973, 13.2647433 52.4194476, 13.26477 52.4193701, 13.2648211 52.419222, 13.2648668 52.4190837, 13.2649869 52.4187201, 13.2651651 52.4181806, 13.2652991 52.4177749, 13.265505 52.4171377, 13.2656305 52.4167714)",,,,,,,,,,27252639,27452988,0
